City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
596,Beaufort,MY,75.36,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
601,Le Port,RE,78.76,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
603,Hambantota,LK,76.37,broken clouds,6.1241,81.1185,Bungalow 63
604,Mahibadhoo,MV,80.42,overcast clouds,3.7833,72.9667,Omadhoo Inn
606,Lagdo,CM,76.44,scattered clouds,9.05,13.7333,
607,Chontalpa,MX,77.76,broken clouds,17.7,-93.5167,
623,Santa Isabel Do Rio Negro,BR,77.05,broken clouds,-0.4139,-65.0192,Hotel GSA
624,Hobyo,SO,76.77,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
627,Guaymas,MX,83.88,broken clouds,27.9333,-110.9,Hotel Armida
648,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
650,Victor Harbor,AU,88.47,broken clouds,-35.5667,138.6167,McCracken Country Club
651,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
656,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
661,Kouroussa,GN,76.19,clear sky,10.65,-9.8833,Hotel Paillote
662,Angoche,MZ,76.23,light rain,-16.2325,39.9086,Guest House HESADA
664,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
665,Varkkallai,IN,78.58,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
666,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
673,Sunyani,GH,75.88,overcast clouds,7.3399,-2.3268,Nass Lodge
675,Puerto Escondido,MX,84.06,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
677,Loiza,PR,75.87,broken clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
688,Axim,GH,78.66,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
689,Mogadishu,SO,76.69,overcast clouds,2.0371,45.3438,Hotel Juba
693,Kalmunai,LK,75.42,light rain,7.4167,81.8167,VS Villa
694,Suleja,NG,78.84,clear sky,9.1758,7.1808,Capy Motel
695,Ailigandi,PA,79.54,scattered clouds,9.2333,-78.0167,Akwa Reef Lodge
697,Ilheus,BR,82.22,few clouds,-14.7889,-39.0494,Barravento Hotel
700,Doka,SD,76.21,clear sky,13.5167,35.7667,
702,Buala,SB,82.44,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
704,Kisangani,CD,75.79,overcast clouds,0.5167,25.2,Grand Ramela Hotel
